Word,Arabic,Lemma(BW),Lemma,Lemma+Variants,Singular,Dual,Plural,Lem N,Lem ADJ,Lem PN,Lem V,Lem T,RootAll,Root N,Root ADJ,Root PN,Root V,Root T,RootNominal,Root,Note
Faqir,فقير,faqiyr,12,12,5,0,7,10,2,0,0,0,14,12,2,0,0,0,14,fqr,
Hasana,حسنة,Hasanap,28,31,28,0,0,25,3,0,0,0,194,138,32,0,24,0,170,Hsn,
Sayyi'a,سيئة,say~i}ap,22,58,22,0,0,21,1,0,0,0,167,128,4,0,35,0,132,swA,
Adam,آدم,A^dam,25,25,25,0,0,0,0,25,0,0,,,,,,,,—,"Proper noun, no root."
Isa,عيسى,EiysaY,25,25,25,0,0,0,0,25,0,0,,,,,,,,—,"Proper noun, no root."
Insan,إنسان,<insa`n,71,89,65,0,6,71,0,0,0,0,97,91,0,0,6,0,91,Ans,"Lemma includes أناس/أناسي (6 pl). <ins(18) = mankind, collective."
Iblis,إبليس,<iboliys,11,11,11,0,0,0,0,11,0,0,,,,,,,,—,"Proper noun, no root."
Iman,إيمان,<iyma`n,45,45,45,0,0,45,0,0,0,0,879,290,31,0,558,0,321,Amn,
Kufr,كفر,kufor,37,41,37,0,0,37,0,0,0,0,525,200,21,0,304,0,221,kfr,"kuforaAn(1), kufuwr(3) = variant verbal nouns."
Turab,تراب,turaAb,17,17,17,0,0,17,0,0,0,0,22,21,1,0,0,0,22,trb,
Nutfa,نطفة,n~uTofap,12,12,12,0,0,12,0,0,0,0,12,12,0,0,0,0,12,nTf,
Alaqa,علقة,Ealaqap,5,6,5,0,0,5,0,0,0,0,7,7,0,0,0,0,7,Elq,Ealaq(1) = 96:2 collective form.
Mudgha,مضغة,muDogap,3,3,3,0,0,3,0,0,0,0,3,3,0,0,0,0,3,mDg,
Izam,عظم,EaZom,2,15,2,0,0,2,0,0,0,0,128,20,105,0,3,0,125,EZm,CORRECTED: plural عظام (13x) is tagged LEM:EaZiym POS:N+MP — see 2.1. Was reported as 2.
Lahm,لحم,laHom,12,12,11,0,1,12,0,0,0,0,12,12,0,0,0,0,12,lHm,
