target,location,form,form_arabic,LEM,POS,NUMBER,PGN,kind
Dunya,4:77:40,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,4:94:21,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,4:109:7,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,4:134:5,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,4:134:9,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,5:33:29,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,5:41:61,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,6:29:6,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,6:32:3,d~unoyaA^,دُّنْيَآ,d~unoyaA,ADJ,S,FS,primary
Dunya,6:70:9,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,6:130:21,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,7:32:18,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,7:51:8,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,7:152:12,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,7:156:5,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,8:42:4,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,8:67:14,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,9:38:18,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,9:38:24,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,9:55:13,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,9:69:28,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,9:74:37,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,9:85:12,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,10:7:8,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,10:23:18,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,10:24:4,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,10:64:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,10:70:3,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,10:88:12,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,10:98:18,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,11:15:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,11:60:4,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,12:101:16,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,13:26:9,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,13:26:12,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,13:34:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,14:3:4,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,14:27:9,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,16:30:13,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,16:41:11,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,16:107:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,16:122:3,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,18:28:18,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,18:45:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,18:46:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,18:104:6,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,20:72:19,d~unoyaA^,دُّنْيَآ,d~unoyaA,ADJ,S,FS,primary
Dunya,20:131:12,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,22:9:9,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,22:11:20,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,22:15:9,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,23:33:13,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,23:37:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,24:14:7,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,24:19:14,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,24:23:9,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,24:33:39,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,28:42:4,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,28:60:7,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,28:61:11,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,28:77:11,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,28:79:10,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,29:25:12,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,29:27:13,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,29:64:4,d~unoyaA^,دُّنْيَآ,d~unoyaA,ADJ,S,FS,primary
Dunya,30:7:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,31:15:16,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,31:33:26,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,33:28:9,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,33:57:9,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,35:5:10,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,37:6:4,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,39:10:11,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,39:26:6,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,40:39:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,40:43:10,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,40:51:8,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,41:12:13,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,41:16:13,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,41:31:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,42:20:14,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,42:36:7,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,43:32:11,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,43:35:8,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,45:24:6,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,45:35:9,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,46:20:11,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,47:36:3,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,53:29:11,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,57:20:4,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,57:20:36,d~unoyaA^,دُّنْيَآ,d~unoyaA,ADJ,S,FS,primary
Dunya,59:3:9,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,67:5:4,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,79:38:3,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,87:16:4,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Akhira,2:4:10,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,2:86:6,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,2:94:6,'aAxirapu,ءَاخِرَةُ,A^xir,ADJ,S,FS,primary
Akhira,2:102:64,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,2:114:28,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,2:130:16,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,2:200:22,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,2:201:10,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,2:217:51,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,2:220:3,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,3:22:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,3:45:18,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,3:56:9,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,3:77:14,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,3:85:11,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,3:145:20,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,3:148:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,3:152:28,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,3:176:19,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,4:74:9,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,4:77:42,'aAxirapu,ءَاخِرَةُ,A^xir,N,S,FS,primary
Akhira,4:134:10,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,5:5:41,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,5:33:32,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,5:41:65,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,6:32:8,'aAxirapu,ءَاخِرَةُ,A^xir,ADJ,S,FS,primary
Akhira,6:92:16,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,6:113:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,6:150:24,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,7:45:9,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,7:147:5,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,7:156:8,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,7:169:35,'aAxirapu,ءَاخِرَةُ,A^xir,ADJ,S,FS,primary
Akhira,8:67:17,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,9:38:20,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,9:38:26,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,9:69:29,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,9:74:38,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,10:64:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,11:16:6,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,11:19:9,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,11:22:5,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,11:103:8,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,12:37:24,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,12:57:2,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,12:101:17,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,12:109:24,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,13:26:14,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,13:34:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,14:3:6,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,14:27:11,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,16:22:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,16:30:16,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,16:41:14,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,16:60:4,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,16:107:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,16:109:5,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,16:122:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,17:7:11,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,17:10:5,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,17:19:3,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,17:21:7,'aAxirapu,ءَاخِرَةُ,A^xir,N,S,FS,primary
Akhira,17:45:10,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,17:72:8,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,17:104:11,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,20:127:10,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,22:11:21,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,22:15:10,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,23:33:9,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,23:74:5,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,24:14:8,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,24:19:15,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,24:23:10,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,27:3:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,27:4:5,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,27:5:8,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,27:66:5,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,28:70:11,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,28:77:6,'aAxirapa,ءَاخِرَةَ,A^xir,ADJ,S,FS,primary
Akhira,28:83:3,'aAxirapu,ءَاخِرَةُ,A^xir,N,S,FS,primary
Akhira,29:20:13,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,29:27:16,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,29:64:10,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,30:7:8,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,30:16:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,31:4:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,33:29:7,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,33:57:10,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,34:1:14,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,34:8:12,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,34:21:11,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,38:7:6,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,39:9:9,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,39:26:8,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,39:45:10,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,40:39:8,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,40:43:13,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,41:7:6,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,41:16:15,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,41:31:7,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,42:20:5,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,42:20:20,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,43:35:9,'aAxirapu,ءَاخِرَةُ,A^xir,N,S,FS,primary
Akhira,53:25:2,'aAxirapu,ءَاخِرَةُ,A^xir,N,S,FS,primary
Akhira,53:27:5,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,57:20:27,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,59:3:12,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,60:13:13,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,68:33:4,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,74:53:5,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,75:21:2,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,79:25:4,'aAxirapi,ءَاخِرَةِ,A^xir,N,S,FS,primary
Akhira,87:17:1,'aAxirapu,ءَاخِرَةُ,A^xir,N,S,FS,primary
Akhira,92:13:3,'aAxirapa,ءَاخِرَةَ,A^xir,N,S,FS,primary
Akhira,93:4:1,'aAxirapu,ءَاخِرَةُ,A^xir,N,S,FS,primary
Malak (angel),2:30:4,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),2:31:8,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),2:34:3,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),2:98:5,mala`^}ikati,مَلَٰٓئِكَتِ,malak,N,P,MP,primary
Malak (angel),2:102:20,malakayoni,مَلَكَيْنِ,malak,N,D,MD,primary
Malak (angel),2:161:11,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),2:177:16,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),2:210:11,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),2:248:22,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),2:285:12,mala`^}ikati,مَلَٰٓئِكَتِ,malak,N,P,MP,primary
Malak (angel),3:18:8,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),3:39:2,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),3:42:3,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),3:45:3,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),3:80:5,mala`^}ikapa,مَلَٰٓئِكَةَ,malak,N,P,MP,primary
Malak (angel),3:87:7,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),3:124:12,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),3:125:14,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),4:97:4,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),4:136:20,mala`^}ikati,مَلَٰٓئِكَتِ,malak,N,P,MP,primary
Malak (angel),4:166:9,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),4:172:9,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),6:8:5,malakN,مَلَكٌ,malak,N,,,primary
Malak (angel),6:8:8,malakFA,مَلَكًا,malak,N,,,primary
Malak (angel),6:9:3,malakFA,مَلَكًا,malak,N,,,primary
Malak (angel),6:50:15,malakN,مَلَكٌ,malak,N,,,primary
Malak (angel),6:93:30,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),6:111:5,mala`^}ikapa,مَلَٰٓئِكَةَ,malak,N,P,MP,primary
Malak (angel),6:158:6,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),7:11:7,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),7:20:21,malakayoni,مَلَكَيْنِ,malak,N,D,MD,primary
Malak (angel),8:9:10,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),8:12:5,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),8:50:7,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),11:12:19,malakN,مَلَكٌ,malak,N,,,primary
Malak (angel),11:31:13,malakN,مَلَكٌ,malak,N,,,primary
Malak (angel),12:31:31,malakN,مَلَكٌ,malak,N,,,primary
Malak (angel),13:13:4,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),13:23:10,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),15:7:4,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),15:8:3,mala`^}ikapa,مَلَٰٓئِكَةَ,malak,N,P,MP,primary
Malak (angel),15:28:4,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),15:30:2,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),16:2:2,mala`^}ikapa,مَلَٰٓئِكَةَ,malak,N,P,MP,primary
Malak (angel),16:28:3,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),16:32:3,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),16:33:6,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),16:49:11,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),17:40:6,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),17:61:3,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),17:92:11,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),17:95:6,mala`^}ikapN,مَلَٰٓئِكَةٌ,malak,N,P,MP,primary
Malak (angel),17:95:13,malakFA,مَلَكًا,malak,N,,,primary
Malak (angel),18:50:3,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),20:116:3,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),21:103:6,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),22:75:4,mala`^}ikapi,مَلَٰٓئِكَةِ,malak,N,P,MP,primary
Malak (angel),23:24:20,mala`^}ikapF,مَلَٰٓئِكَةً,malak,N,P,MP,primary
Malak (angel),25:7:13,malakN,مَلَكٌ,malak,N,,,primary
Malak (angel),25:21:9,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),25:22:3,mala`^}ikapa,مَلَٰٓئِكَةَ,malak,N,P,MP,primary
Malak (angel),25:25:6,mala`^}ikapu,مَلَٰٓئِكَةُ,malak,N,P,MP,primary
Malak (angel),32:11:3,m~alaku,مَّلَكُ,malak,N,,,primary
